node_id,tree_id,tree_name,tree_title,depth_group,declared_levels,parent_id,node_name,node_level,sort_order,path,is_root,child_count
node_00001,tree_001,Buildings,Buildings - 2 Levels,Trees with 2 Levels,2,,Buildings,0,1,Buildings,1,6
node_00002,tree_001,Buildings,Buildings - 2 Levels,Trees with 2 Levels,2,node_00001,Residential Buildings,1,1,Buildings / Residential Buildings,0,3
node_00003,tree_001,Buildings,Buildings - 2 Levels,Trees with 2 Levels,2,node_00002,Single-Family House,2,1,Buildings / Residential Buildings / Single-Family House,0,0
node_00004,tree_001,Buildings,Buildings - 2 Levels,Trees with 2 Levels,2,node_00002,Duplex,2,2,Buildings / Residential Buildings / Duplex,0,0
node_00005,tree_001,Buildings,Buildings - 2 Levels,Trees with 2 Levels,2,node_00002,Apartment Building,2,3,Buildings / Residential Buildings / Apartment Building,0,0
node_00006,tree_001,Buildings,Buildings - 2 Levels,Trees with 2 Levels,2,node_00001,Utility Buildings,1,2,Buildings / Utility Buildings,0,3
node_00007,tree_001,Buildings,Buildings - 2 Levels,Trees with 2 Levels,2,node_00006,Warehouse,2,1,Buildings / Utility Buildings / Warehouse,0,0
node_00008,tree_001,Buildings,Buildings - 2 Levels,Trees with 2 Levels,2,node_00006,Workshop,2,2,Buildings / Utility Buildings / Workshop,0,0
node_00009,tree_001,Buildings,Buildings - 2 Levels,Trees with 2 Levels,2,node_00006,Office Building,2,3,Buildings / Utility Buildings / Office Building,0,0
node_00010,tree_001,Buildings,Buildings - 2 Levels,Trees with 2 Levels,2,node_00001,Transport Structures,1,3,Buildings / Transport Structures,0,3
node_00011,tree_001,Buildings,Buildings - 2 Levels,Trees with 2 Levels,2,node_00010,Bridge,2,1,Buildings / Transport Structures / Bridge,0,0
node_00012,tree_001,Buildings,Buildings - 2 Levels,Trees with 2 Levels,2,node_00010,Tunnel,2,2,Buildings / Transport Structures / Tunnel,0,0
node_00013,tree_001,Buildings,Buildings - 2 Levels,Trees with 2 Levels,2,node_00010,Railway Station,2,3,Buildings / Transport Structures / Railway Station,0,0
node_00014,tree_001,Buildings,Buildings - 2 Levels,Trees with 2 Levels,2,node_00001,Towers and Tall Structures,1,4,Buildings / Towers and Tall Structures,0,3
node_00015,tree_001,Buildings,Buildings - 2 Levels,Trees with 2 Levels,2,node_00014,Observation Tower,2,1,Buildings / Towers and Tall Structures / Observation Tower,0,0
